Contact,Actor,Action,Timestamp,,,
c838ef06-7a17-4519-a6f6-f133439d8abc,Contact Action,EmailOpen,2024-02-14 23:04:02,,,
c838ef06-7a17-4519-a6f6-f133439d8abc,Contact Action,EmailOpen,2024-02-14 21:46:12,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,PartialForm,2024-02-14 21:34:40,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,EmailOpen,2024-02-14 21:34:39,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,SiteVisit,2024-02-14 21:34:28,,,
c838ef06-7a17-4519-a6f6-f133439d8abc,System Action,Email Log,2024-02-14 21:29:26,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,System Action,Email Log,2024-02-14 21:08:54,,,
8668e2ff-0b98-41ca-a8cc-49b86afb50b0,System Action,Email Log,2024-02-14 21:01:35,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,PopupView,2024-02-14 20:52:11,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,SiteVisit,2024-02-14 20:52:06,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,PartialForm,2024-02-14 20:49:26,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,PartialForm,2024-02-14 20:48:54,,,
fbd52aea-921b-4a8e-9bfc-553bb0792ee8,Contact Action,EmailOpen,2024-02-14 20:47:50,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,SiteVisit,2024-02-14 20:47:40,,,
7a49d2c0-003b-4cda-b323-b6979f17fcb8,Contact Action,EmailOpen,2024-02-14 20:39:34,,,
fbd52aea-921b-4a8e-9bfc-553bb0792ee8,System Action,Email Log,2024-02-14 20:34:05,,,
8a055888-3bc8-4963-9183-db787ea83458,System Action,Email Log,2024-02-14 20:31:14,,,
7a49d2c0-003b-4cda-b323-b6979f17fcb8,System Action,Email Log,2024-02-14 20:25:26,,,
3c7aaab1-4d91-4eaa-997a-a162ddaafed8,Contact Action,EmailOpen,2024-02-14 19:48:15,,,
8a055888-3bc8-4963-9183-db787ea83458,System Action,Email Log,2024-02-14 19:42:21,,,
8a055888-3bc8-4963-9183-db787ea83458,Contact Action,Appointment,2024-02-14 19:41:02,,,
8a055888-3bc8-4963-9183-db787ea83458,Contact Action,SubmittedForm,2024-02-14 19:41:01,,,
8a055888-3bc8-4963-9183-db787ea83458,Contact Action,SiteVisit,2024-02-14 19:40:01,,,
8a055888-3bc8-4963-9183-db787ea83458,Contact Action,ShortUrlClick,2024-02-14 19:39:58,,,
8a055888-3bc8-4963-9183-db787ea83458,Contact Action,EmailLinkClick,2024-02-14 19:39:58,,,
8a055888-3bc8-4963-9183-db787ea83458,Contact Action,EmailLinkClick,2024-02-14 19:39:56,,,
8a055888-3bc8-4963-9183-db787ea83458,Contact Action,EmailOpen,2024-02-14 19:39:56,,,
8a055888-3bc8-4963-9183-db787ea83458,Contact Action,ShortUrlClick,2024-02-14 19:39:55,,,
3c7aaab1-4d91-4eaa-997a-a162ddaafed8,System Action,Email Log,2024-02-14 19:36:33,,,
3c7aaab1-4d91-4eaa-997a-a162ddaafed8,Contact Action,OptIn,2024-02-14 19:36:28,,,
3c7aaab1-4d91-4eaa-997a-a162ddaafed8,Contact Action,SubmittedForm,2024-02-14 19:36:27,,,
3c7aaab1-4d91-4eaa-997a-a162ddaafed8,Contact Action,Appointment,2024-02-14 19:36:27,,,
3c7aaab1-4d91-4eaa-997a-a162ddaafed8,Contact Action,GoalCompletion,2024-02-14 19:36:27,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,ShortUrlClick,2024-02-14 19:36:18,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,EmailLinkClick,2024-02-14 19:36:18,,,
3c7aaab1-4d91-4eaa-997a-a162ddaafed8,Contact Action,SiteVisit,2024-02-14 19:35:40,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,EmailLinkClick,2024-02-14 19:33:57,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,ShortUrlClick,2024-02-14 19:33:56,,,
2dd7a997-61d9-43bb-a0f0-d5a7ea3b34c6,Contact Action,EmailOpen,2024-02-14 19:26:05,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,ShortUrlClick,2024-02-14 19:25:59,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,EmailLinkClick,2024-02-14 19:25:59,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,EmailOpen,2024-02-14 19:21:52,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,PopupView,2024-02-14 19:20:26,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,EmailOpen,2024-02-14 19:18:48,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,EmailOpen,2024-02-14 19:17:02,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,EmailOpen,2024-02-14 19:16:56,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,System Action,Email Log,2024-02-14 19:10:30,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,System Action,Email Log,2024-02-14 19:10:18,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,OptIn,2024-02-14 19:10:14,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,SubmittedForm,2024-02-14 19:10:13,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,Appointment,2024-02-14 19:10:13,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,PartialForm,2024-02-14 19:09:54,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,System Action,Email Log,2024-02-14 19:08:05,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,OptIn,2024-02-14 19:08:02,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,SubmittedForm,2024-02-14 19:08:01,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,Appointment,2024-02-14 19:08:01,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,GoalCompletion,2024-02-14 19:08:01,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,SiteVisit,2024-02-14 19:07:09,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,System Action,Email Log,2024-02-14 19:06:28,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,SubmittedForm,2024-02-14 19:06:20,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,Appointment,2024-02-14 19:06:20,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,ADLogin,2024-02-14 19:02:22,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,ADLogin,2024-02-14 19:02:19,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,PopupView,2024-02-14 18:53:10,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,PopupView,2024-02-14 18:51:19,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,SiteVisit,2024-02-14 18:51:16,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,PartialForm,2024-02-14 18:07:04,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,SiteVisit,2024-02-14 18:06:37,,,
636688d2-742e-4e39-b49f-ca6d5dc666a2,System Action,Email Log,2024-02-14 17:49:40,,,
636688d2-742e-4e39-b49f-ca6d5dc666a2,Contact Action,SubmittedForm,2024-02-14 17:49:33,,,
636688d2-742e-4e39-b49f-ca6d5dc666a2,Contact Action,Appointment,2024-02-14 17:49:33,,,
2dd7a997-61d9-43bb-a0f0-d5a7ea3b34c6,Contact Action,SiteVisit,2024-02-14 17:31:50,,,
